,Month,All Traded Marketplaces,Toronto Stock Exchange
0,2015-01-01,44526987.0,22065225.0
1,2015-02-01,36524650.0,17680681.0
2,2015-03-01,38412227.0,18538452.0
3,2015-04-01,34254811.0,16039031.0
4,2015-05-01,30903078.0,14453421.0
5,2015-06-01,31815849.0,14935276.0
6,2015-07-01,33903660.0,16345852.0
7,2015-08-01,37217018.0,19019983.0
8,2015-09-01,34460959.0,18003447.0
9,2015-10-01,36741147.0,20268191.0
10,2015-11-01,32138764.0,17237243.0
11,2015-12-01,35545736.0,18937716.0
12,2016-01-01,41195015.0,22155767.0
13,2016-02-01,40255876.0,21941952.0
14,2016-03-01,43507661.0,23347302.0
15,2016-04-01,37422842.0,19310552.0
16,2016-05-01,37729382.0,19302979.0
17,2016-06-01,39969508.0,19975887.0
18,2016-07-01,31486899.0,15306752.0
19,2016-08-01,33978058.0,16554516.0
20,2016-09-01,36638149.0,17632669.0
21,2016-10-01,34358996.0,16198272.0
22,2016-11-01,42297753.0,20904138.0
23,2016-12-01,35767195.0,17473097.0
24,2017-01-01,37292112.0,18146868.0
25,2017-02-01,36259340.0,17235416.0
26,2017-03-01,43652075.0,20816273.0
27,2017-04-01,33405453.0,15644701.0
28,2017-05-01,38416384.0,18047111.0
29,2017-06-01,38073523.0,18078814.0
30,2017-07-01,28591039.0,13540116.0
31,2017-08-01,31683864.0,15629701.0
32,2017-09-01,30865096.0,14585413.0
33,2017-10-01,31942256.0,14642903.0
34,2017-11-01,37107484.0,17286037.0
35,2017-12-01,33847022.0,15112376.0
36,2018-01-01,46181404.0,20616548.0
37,2018-02-01,43218608.0,20627826.0
38,2018-03-01,40004634.0,18489786.0
39,2018-04-01,36049990.0,16955833.0
40,2018-05-01,37936117.0,17675564.0
41,2018-06-01,37346250.0,17630782.0
42,2018-07-01,31012900.0,15017606.0
43,2018-08-01,37753374.0,18753858.0
44,2018-09-01,40295694.0,19534350.0
45,2018-10-01,52602974.0,26753181.0
46,2018-11-01,46386747.0,23327865.0
47,2018-12-01,44272325.0,22848062.0
48,2019-01-01,44049343.0,21752619.0
49,2019-02-01,38515783.0,18371469.0
50,2019-03-01,42599555.0,20666404.0
51,2019-04-01,36982089.0,16888854.0
52,2019-05-01,41685641.0,19755246.0
53,2019-06-01,35587088.0,16751725.0
54,2019-07-01,34986004.0,16478270.0
55,2019-08-01,40207105.0,19982101.0
56,2019-09-01,37707133.0,18630865.0
57,2019-10-01,36306077.0,18299320.0
58,2019-11-01,35783788.0,17410770.0
59,2019-12-01,34939239.0,16680502.0
60,2020-01-01,38933980.0,18801194.0
61,2020-02-01,42274544.0,20956928.0
62,2020-03-01,93681060.0,50826511.0
63,2020-04-01,60615356.0,31142432.0
64,2020-05-01,49747882.0,24715503.0
65,2020-06-01,53597954.0,26741334.0
66,2020-07-01,42868503.0,20665982.0
67,2020-08-01,39957614.0,19577254.0
68,2020-09-01,44679477.0,22400041.0
69,2020-10-01,40338244.0,19805615.0
70,2020-11-01,51734021.0,25380077.0
71,2020-12-01,49987942.0,22635212.0
72,2021-01-01,57972415.0,25289300.0
73,2021-02-01,68731821.0,28324005.0
74,2021-03-01,70368860.0,30889577.0
75,2021-04-01,48200305.0,20597295.0
76,2021-05-01,51095207.0,22794785.0
77,2021-06-01,52360095.0,23269134.0
78,2021-07-01,41909132.0,18566672.0
79,2021-08-01,43191554.0,19071454.0
80,2021-09-01,49325650.0,22316531.0
81,2021-10-01,45988956.0,20226772.0
82,2021-11-01,55873142.0,24527280.0
83,2021-12-01,49151990.0,22218786.0
84,2022-01-01,54926348.0,24850477.0
85,2022-02-01,49187567.0,22978043.0
86,2022-03-01,65115937.0,30239084.0
87,2022-04-01,48215652.0,22284530.0
88,2022-05-01,54486794.0,25928781.0
89,2022-06-01,51310348.0,24475397.0
90,2022-07-01,41245874.0,20088204.0
91,2022-08-01,43602212.0,21050085.0
92,2022-09-01,44221541.0,21954952.0
93,2022-10-01,42762210.0,21105207.0
94,2022-11-01,47466194.0,22800230.0
