,,,,
,,,,
,Month,Trade Type and Listing Market,All Traded Marketplaces,Toronto Stock Exchange
,2015-Jan,All Trade All Listing Total,"44,526,987","22,065,225"
,2015-Jan,Non-Cross Trade All Listing Total,"44,506,175","22,053,130"
,2015-Jan,Non-Cross TSX-Listed,"43,941,065","22,053,130"
,2015-Jan,Non-Cross TSXV-Listed,"553,236",
,2015-Jan,Non-Cross CSE-Listed,"11,874",
,2015-Jan,Non-Cross NEO-Listed,,
,2015-Jan,Intentional Cross Trade All Listing Total,"20,812","12,095"
,2015-Jan,Intentional Cross TSX-Listed,"19,895","12,095"
,2015-Jan,Intentional Cross TSXV-Listed,895,
,2015-Jan,Intentional Cross CSE-Listed,22,
,2015-Jan,Intentional Cross NEO-Listed,,
,2015-feb,All Trade All Listing Total,"36,524,650","17,680,681"
,2015-feb,Non-Cross Trade All Listing Total,"36,504,038","17,667,717"
,2015-feb,Non-Cross TSX-Listed,"35,955,623","17,667,717"
,2015-feb,Non-Cross TSXV-Listed,"528,912",
,2015-feb,Non-Cross CSE-Listed,"19,503",
,2015-feb,Non-Cross NEO-Listed,,
,2015-feb,Intentional Cross Trade All Listing Total,"20,612","12,964"
,2015-feb,Intentional Cross TSX-Listed,"19,551","12,964"
,2015-feb,Intentional Cross TSXV-Listed,"1,043",
,2015-feb,Intentional Cross CSE-Listed,18,
,2015-feb,Intentional Cross NEO-Listed,,
,2015-mar,All Trade All Listing Total,"38,412,227","18,538,452"
,2015-mar,Non-Cross Trade All Listing Total,"38,391,359","18,525,763"
,2015-mar,Non-Cross TSX-Listed,"37,736,090","18,525,763"
,2015-mar,Non-Cross TSXV-Listed,"636,010",
,2015-mar,Non-Cross CSE-Listed,"19,259",
,2015-mar,Non-Cross NEO-Listed,,
,2015-mar,Intentional Cross Trade All Listing Total,"20,868","12,689"
,2015-mar,Intentional Cross TSX-Listed,"19,886","12,689"
,2015-mar,Intentional Cross TSXV-Listed,964,
,2015-mar,Intentional Cross CSE-Listed,18,
,2015-mar,Intentional Cross NEO-Listed,,
,2015-Apr,All Trade All Listing Total,"34,254,811","16,039,031"
,2015-Apr,Non-Cross Trade All Listing Total,"34,233,869","16,027,528"
,2015-Apr,Non-Cross TSX-Listed,"33,512,592","16,027,528"
,2015-Apr,Non-Cross TSXV-Listed,"703,476",
,2015-Apr,Non-Cross CSE-Listed,"17,801",
,2015-Apr,Non-Cross NEO-Listed,,
,2015-Apr,Intentional Cross Trade All Listing Total,"20,942","11,503"
,2015-Apr,Intentional Cross TSX-Listed,"19,636","11,503"
,2015-Apr,Intentional Cross TSXV-Listed,"1,270",
,2015-Apr,Intentional Cross CSE-Listed,36,
,2015-Apr,Intentional Cross NEO-Listed,,
,2015-may,All Trade All Listing Total,"30,903,078","14,453,421"
,2015-may,Non-Cross Trade All Listing Total,"30,882,106","14,440,841"
,2015-may,Non-Cross TSX-Listed,"30,266,401","14,440,841"
,2015-may,Non-Cross TSXV-Listed,"603,233",
,2015-may,Non-Cross CSE-Listed,"12,472",
,2015-may,Non-Cross NEO-Listed,,
,2015-may,Intentional Cross Trade All Listing Total,"20,972","12,580"
,2015-may,Intentional Cross TSX-Listed,"20,051","12,580"
,2015-may,Intentional Cross TSXV-Listed,906,
,2015-may,Intentional Cross CSE-Listed,15,
,2015-may,Intentional Cross NEO-Listed,,
,2015-jun,All Trade All Listing Total,"31,815,849","14,935,276"
,2015-jun,Non-Cross Trade All Listing Total,"31,794,548","14,923,796"
,2015-jun,Non-Cross TSX-Listed,"31,181,874","14,923,796"
,2015-jun,Non-Cross TSXV-Listed,"597,935",
,2015-jun,Non-Cross CSE-Listed,"14,739",
,2015-jun,Non-Cross NEO-Listed,,
,2015-jun,Intentional Cross Trade All Listing Total,"21,301","11,480"
,2015-jun,Intentional Cross TSX-Listed,"20,247","11,480"
,2015-jun,Intentional Cross TSXV-Listed,"1,021",
,2015-jun,Intentional Cross CSE-Listed,33,
,2015-jun,Intentional Cross NEO-Listed,,
,2015-jul,All Trade All Listing Total,"33,903,660","16,345,852"
,2015-jul,Non-Cross Trade All Listing Total,"33,884,020","16,336,243"
,2015-jul,Non-Cross TSX-Listed,"33,359,648","16,336,243"
