,,,,
,Month,Trade Type and Listing Market,All Traded Marketplaces,Toronto Stock Exchange
,2015-Jan,All Trade All Listing Total,"18,307,681,613","8,575,986,689"
,2015-Jan,Non-Cross Trade All Listing Total,"16,330,583,030","7,619,452,016"
,2015-Jan,Non-Cross TSX-Listed,"13,183,520,432","7,619,452,016"
,2015-Jan,Non-Cross TSXV-Listed,"2,989,157,481",
,2015-Jan,Non-Cross CSE-Listed,"157,905,117",
,2015-Jan,Non-Cross NEO-Listed,,
,2015-Jan,Intentional Cross Trade All Listing Total,"1,977,098,583","956,534,673"
,2015-Jan,Intentional Cross TSX-Listed,"1,822,641,399","956,534,673"
,2015-Jan,Intentional Cross TSXV-Listed,"149,190,442",
,2015-Jan,Intentional Cross CSE-Listed,"5,266,742",
,2015-Jan,Intentional Cross NEO-Listed,,
,2015-feb,All Trade All Listing Total,"16,464,744,576","7,388,265,545"
,2015-feb,Non-Cross Trade All Listing Total,"14,517,343,587","6,403,582,854"
,2015-feb,Non-Cross TSX-Listed,"11,022,721,199","6,403,582,854"
,2015-feb,Non-Cross TSXV-Listed,"3,279,717,495",
,2015-feb,Non-Cross CSE-Listed,"214,904,893",
,2015-feb,Non-Cross NEO-Listed,,
,2015-feb,Intentional Cross Trade All Listing Total,"1,947,400,989","984,682,691"
,2015-feb,Intentional Cross TSX-Listed,"1,703,852,447","984,682,691"
,2015-feb,Intentional Cross TSXV-Listed,"241,146,744",
,2015-feb,Intentional Cross CSE-Listed,"2,401,798",
,2015-feb,Intentional Cross NEO-Listed,,
,2015-mar,All Trade All Listing Total,"18,152,541,991","7,934,869,765"
,2015-mar,Non-Cross Trade All Listing Total,"16,355,796,864","7,076,934,639"
,2015-mar,Non-Cross TSX-Listed,"11,958,803,791","7,076,934,639"
,2015-mar,Non-Cross TSXV-Listed,"4,147,305,455",
,2015-mar,Non-Cross CSE-Listed,"249,687,618",
,2015-mar,Non-Cross NEO-Listed,,
,2015-mar,Intentional Cross Trade All Listing Total,"1,796,745,127","857,935,126"
,2015-mar,Intentional Cross TSX-Listed,"1,579,350,623","857,935,126"
,2015-mar,Intentional Cross TSXV-Listed,"216,047,565",
,2015-mar,Intentional Cross CSE-Listed,"1,346,939",
,2015-mar,Intentional Cross NEO-Listed,,
,2015-Apr,All Trade All Listing Total,"17,408,114,695","7,235,530,711"
,2015-Apr,Non-Cross Trade All Listing Total,"15,310,130,823","6,352,474,958"
,2015-Apr,Non-Cross TSX-Listed,"10,957,269,996","6,352,474,958"
,2015-Apr,Non-Cross TSXV-Listed,"4,130,473,704",
,2015-Apr,Non-Cross CSE-Listed,"222,387,123",
,2015-Apr,Non-Cross NEO-Listed,,
,2015-Apr,Intentional Cross Trade All Listing Total,"2,097,983,872","883,055,753"
,2015-Apr,Intentional Cross TSX-Listed,"1,772,804,606","883,055,753"
,2015-Apr,Intentional Cross TSXV-Listed,"316,926,467",
,2015-Apr,Intentional Cross CSE-Listed,"8,252,799",
,2015-Apr,Intentional Cross NEO-Listed,,
,2015-may,All Trade All Listing Total,"14,813,059,377","6,264,372,877"
,2015-may,Non-Cross Trade All Listing Total,"13,010,583,542","5,415,119,158"
,2015-may,Non-Cross TSX-Listed,"9,448,180,261","5,415,119,158"
,2015-may,Non-Cross TSXV-Listed,"3,408,915,500",
,2015-may,Non-Cross CSE-Listed,"153,487,781",
,2015-may,Non-Cross NEO-Listed,,
,2015-may,Intentional Cross Trade All Listing Total,"1,802,475,835","849,253,719"
,2015-may,Intentional Cross TSX-Listed,"1,651,843,583","849,253,719"
,2015-may,Intentional Cross TSXV-Listed,"147,030,649",
,2015-may,Intentional Cross CSE-Listed,"3,601,603",
,2015-may,Intentional Cross NEO-Listed,,
,2015-jun,All Trade All Listing Total,"15,210,642,407","6,570,936,538"
,2015-jun,Non-Cross Trade All Listing Total,"13,318,523,401","5,785,266,596"
,2015-jun,Non-Cross TSX-Listed,"9,674,157,549","5,785,266,596"
,2015-jun,Non-Cross TSXV-Listed,"3,449,124,009",
,2015-jun,Non-Cross CSE-Listed,"195,241,843",
,2015-jun,Non-Cross NEO-Listed,,
,2015-jun,Intentional Cross Trade All Listing Total,"1,892,119,006","785,669,942"
,2015-jun,Intentional Cross TSX-Listed,"1,678,827,424","785,669,942"
,2015-jun,Intentional Cross TSXV-Listed,"207,519,805",
,2015-jun,Intentional Cross CSE-Listed,"5,771,777",
,2015-jun,Intentional Cross NEO-Listed,,
,2015-jul,All Trade All Listing Total,"14,909,782,615","6,439,188,171"
,2015-jul,Non-Cross Trade All Listing Total,"13,043,313,445","5,743,988,672"
,2015-jul,Non-Cross TSX-Listed,"10,029,310,271","5,743,988,672"
,2015-jul,Non-Cross TSXV-Listed,"2,848,039,203",
,2015-jul,Non-Cross CSE-Listed,"165,963,971",
,2015-jul,Non-Cross NEO-Listed,,
,2015-jul,Intentional Cross Trade All Listing Total,"1,866,469,170","695,199,499"
,2015-jul,Intentional Cross TSX-Listed,"1,714,393,375","695,199,499"
,2015-jul,Intentional Cross TSXV-Listed,"147,743,514",
,2015-jul,Intentional Cross CSE-Listed,"4,332,281",
,2015-jul,Intentional Cross NEO-Listed,,
,2015-Aug,All Trade All Listing Total,"14,469,770,172","6,712,646,477"
,2015-Aug,Non-Cross Trade All Listing Total,"12,937,230,415","6,105,297,168"
,2015-Aug,Non-Cross TSX-Listed,"10,358,020,569","6,105,297,168"
,2015-Aug,Non-Cross TSXV-Listed,"2,436,630,506",
,2015-Aug,Non-Cross CSE-Listed,"142,579,340",
,2015-Aug,Non-Cross NEO-Listed,,
,2015-Aug,Intentional Cross Trade All Listing Total,"1,532,539,757","607,349,309"
,2015-Aug,Intentional Cross TSX-Listed,"1,421,084,579","607,349,309"
,2015-Aug,Intentional Cross TSXV-Listed,"108,337,222",
,2015-Aug,Intentional Cross CSE-Listed,"3,117,956",
,2015-Aug,Intentional Cross NEO-Listed,,
,2015-Sep,All Trade All Listing Total,"14,892,318,047","7,129,074,849"
,2015-Sep,Non-Cross Trade All Listing Total,"13,079,215,420","6,477,036,594"
,2015-Sep,Non-Cross TSX-Listed,"10,469,731,590","6,477,036,594"
,2015-Sep,Non-Cross TSXV-Listed,"2,416,818,380",
,2015-Sep,Non-Cross CSE-Listed,"192,665,450",
,2015-Sep,Non-Cross NEO-Listed,,
,2015-Sep,Intentional Cross Trade All Listing Total,"1,813,102,627","652,038,255"
,2015-Sep,Intentional Cross TSX-Listed,"1,640,999,124","652,038,255"
,2015-Sep,Intentional Cross TSXV-Listed,"146,189,799",
,2015-Sep,Intentional Cross CSE-Listed,"25,913,704",
,2015-Sep,Intentional Cross NEO-Listed,,
,2015-oct,All Trade All Listing Total,"16,338,548,687","7,857,992,677"
,2015-oct,Non-Cross Trade All Listing Total,"14,358,274,306","7,147,398,529"
,2015-oct,Non-Cross TSX-Listed,"11,374,693,245","7,147,398,529"
,2015-oct,Non-Cross TSXV-Listed,"2,767,227,479",
,2015-oct,Non-Cross CSE-Listed,"216,353,582",
,2015-oct,Non-Cross NEO-Listed,,
,2015-oct,Intentional Cross Trade All Listing Total,"1,980,274,381","710,594,148"
,2015-oct,Intentional Cross TSX-Listed,"1,763,279,740","710,594,148"
,2015-oct,Intentional Cross TSXV-Listed,"211,899,591",
,2015-oct,Intentional Cross CSE-Listed,"5,095,050",
,2015-oct,Intentional Cross NEO-Listed,,
,2015-nov,All Trade All Listing Total,"14,447,448,294","6,738,876,106"
,2015-nov,Non-Cross Trade All Listing Total,"12,748,649,189","6,107,212,527"
,2015-nov,Non-Cross TSX-Listed,"9,848,144,176","6,107,212,527"
,2015-nov,Non-Cross TSXV-Listed,"2,632,671,113",
