,,,,
,Month,Trade Type and Listing Market,All Traded Marketplaces,Toronto Stock Exchange
,2015-Jan,All Trade All Listing Total,"$218,979,240,778","$123,847,617,642"
,2015-Jan,Non-Cross Trade All Listing Total,"$194,655,069,799","$113,552,797,877"
,2015-Jan,Non-Cross TSX-Listed,"$193,780,889,029","$113,552,797,877"
,2015-Jan,Non-Cross TSXV-Listed,"$853,952,017",
,2015-Jan,Non-Cross CSE-Listed,"$20,228,753",
,2015-Jan,Non-Cross NEO-Listed,,
,2015-Jan,Intentional Cross Trade All Listing Total,"$24,324,170,979","$10,294,819,766"
,2015-Jan,Intentional Cross TSX-Listed,"$24,131,916,074","$10,294,819,766"
,2015-Jan,Intentional Cross TSXV-Listed,"$191,440,746",
,2015-Jan,Intentional Cross CSE-Listed,"$814,158",
,2015-Jan,Intentional Cross NEO-Listed,,
,2015-feb,All Trade All Listing Total,"$195,007,664,446","$111,148,053,391"
,2015-feb,Non-Cross Trade All Listing Total,"$173,116,910,273","$100,660,811,639"
,2015-feb,Non-Cross TSX-Listed,"$172,176,184,746","$100,660,811,639"
,2015-feb,Non-Cross TSXV-Listed,"$877,646,802",
,2015-feb,Non-Cross CSE-Listed,"$63,078,725",
,2015-feb,Non-Cross NEO-Listed,,
,2015-feb,Intentional Cross Trade All Listing Total,"$21,890,754,172","$10,487,241,751"
,2015-feb,Intentional Cross TSX-Listed,"$21,750,427,823","$10,487,241,751"
,2015-feb,Intentional Cross TSXV-Listed,"$139,354,599",
,2015-feb,Intentional Cross CSE-Listed,"$971,750",
,2015-feb,Intentional Cross NEO-Listed,,
,2015-mar,All Trade All Listing Total,"$206,135,090,423","$121,417,946,159"
,2015-mar,Non-Cross Trade All Listing Total,"$185,891,243,827","$112,158,529,358"
,2015-mar,Non-Cross TSX-Listed,"$184,795,056,709","$112,158,529,358"
,2015-mar,Non-Cross TSXV-Listed,"$1,060,944,522",
,2015-mar,Non-Cross CSE-Listed,"$35,242,596",
,2015-mar,Non-Cross NEO-Listed,,
,2015-mar,Intentional Cross Trade All Listing Total,"$20,243,846,595","$9,259,416,801"
,2015-mar,Intentional Cross TSX-Listed,"$20,091,143,769","$9,259,416,801"
,2015-mar,Intentional Cross TSXV-Listed,"$152,471,001",
,2015-mar,Intentional Cross CSE-Listed,"$231,824",
,2015-mar,Intentional Cross NEO-Listed,,
,2015-Apr,All Trade All Listing Total,"$185,196,087,321","$101,683,679,899"
,2015-Apr,Non-Cross Trade All Listing Total,"$161,512,206,449","$91,587,864,634"
,2015-Apr,Non-Cross TSX-Listed,"$160,061,668,639","$91,587,864,634"
,2015-Apr,Non-Cross TSXV-Listed,"$1,422,489,450",
,2015-Apr,Non-Cross CSE-Listed,"$28,048,360",
,2015-Apr,Non-Cross NEO-Listed,,
,2015-Apr,Intentional Cross Trade All Listing Total,"$23,683,880,871","$10,095,815,265"
,2015-Apr,Intentional Cross TSX-Listed,"$23,447,126,987","$10,095,815,265"
,2015-Apr,Intentional Cross TSXV-Listed,"$235,161,107",
,2015-Apr,Intentional Cross CSE-Listed,"$1,592,778",
,2015-Apr,Intentional Cross NEO-Listed,,
,2015-may,All Trade All Listing Total,"$168,062,773,412","$93,154,874,661"
,2015-may,Non-Cross Trade All Listing Total,"$145,983,229,413","$83,576,709,664"
,2015-may,Non-Cross TSX-Listed,"$144,883,401,185","$83,576,709,664"
,2015-may,Non-Cross TSXV-Listed,"$1,081,173,017",
,2015-may,Non-Cross CSE-Listed,"$18,655,211",
,2015-may,Non-Cross NEO-Listed,,
,2015-may,Intentional Cross Trade All Listing Total,"$22,079,543,999","$9,578,164,997"
,2015-may,Intentional Cross TSX-Listed,"$21,937,274,264","$9,578,164,997"
,2015-may,Intentional Cross TSXV-Listed,"$142,012,017",
,2015-may,Intentional Cross CSE-Listed,"$257,718",
,2015-may,Intentional Cross NEO-Listed,,
,2015-jun,All Trade All Listing Total,"$192,914,544,829","$115,209,328,271"
