"Month","Trade Type and Listing Market","All Traded Marketplaces","Toronto Stock Exchange"
"2015-Jan","All Trade All Listing Total","44,526,987","22,065,225"
"2015-feb","All Trade All Listing Total","36,524,650","17,680,681"
"2015-mar","All Trade All Listing Total","38,412,227","18,538,452"
"2015-Apr","All Trade All Listing Total","34,254,811","16,039,031"
"2015-may","All Trade All Listing Total","30,903,078","14,453,421"
"2015-jun","All Trade All Listing Total","31,815,849","14,935,276"
"2015-jul","All Trade All Listing Total","33,903,660","16,345,852"
"2015-Aug","All Trade All Listing Total","37,217,018","19,019,983"
"2015-Sep","All Trade All Listing Total","34,460,959","18,003,447"
"2015-oct","All Trade All Listing Total","36,741,147","20,268,191"
"2015-nov","All Trade All Listing Total","32,138,764","17,237,243"
"2015-Dec","All Trade All Listing Total","35,545,736","18,937,716"
"2016-Jan","All Trade All Listing Total","41,195,015","22,155,767"
"2016-feb","All Trade All Listing Total","40,255,876","21,941,952"
"2016-mar","All Trade All Listing Total","43,507,661","23,347,302"
"2016-Apr","All Trade All Listing Total","37,422,842","19,310,552"
"2016-may","All Trade All Listing Total","37,729,382","19,302,979"
"2016-jun","All Trade All Listing Total","39,969,508","19,975,887"
"2016-jul","All Trade All Listing Total","31,486,899","15,306,752"
"2016-Aug","All Trade All Listing Total","33,978,058","16,554,516"
"2016-Sep","All Trade All Listing Total","36,638,149","17,632,669"
"2016-oct","All Trade All Listing Total","34,358,996","16,198,272"
"2016-nov","All Trade All Listing Total","42,297,753","20,904,138"
"2016-Dec","All Trade All Listing Total","35,767,195","17,473,097"
"2017-Jan","All Trade All Listing Total","37,292,112","18,146,868"
"2017-feb","All Trade All Listing Total","36,259,340","17,235,416"
"2017-mar","All Trade All Listing Total","43,652,075","20,816,273"
"2017-Apr","All Trade All Listing Total","33,405,453","15,644,701"
"2017-may","All Trade All Listing Total","38,416,384","18,047,111"
"2017-jun","All Trade All Listing Total","38,073,523","18,078,814"
"2017-jul","All Trade All Listing Total","28,591,039","13,540,116"
