"Month","Trade Type and Listing Market","All Traded Marketplaces","Toronto Stock Exchange"
"2015-Jan","All Trade All Listing Total","18,307,681,613","8,575,986,689"
"2015-feb","All Trade All Listing Total","16,464,744,576","7,388,265,545"
"2015-mar","All Trade All Listing Total","18,152,541,991","7,934,869,765"
"2015-Apr","All Trade All Listing Total","17,408,114,695","7,235,530,711"
"2015-may","All Trade All Listing Total","14,813,059,377","6,264,372,877"
"2015-jun","All Trade All Listing Total","15,210,642,407","6,570,936,538"
"2015-jul","All Trade All Listing Total","14,909,782,615","6,439,188,171"
"2015-Aug","All Trade All Listing Total","14,469,770,172","6,712,646,477"
"2015-Sep","All Trade All Listing Total","14,892,318,047","7,129,074,849"
"2015-oct","All Trade All Listing Total","16,338,548,687","7,857,992,677"
"2015-nov","All Trade All Listing Total","14,447,448,294","6,738,876,106"
"2015-Dec","All Trade All Listing Total","15,752,598,172","7,396,933,616"
"2016-Jan","All Trade All Listing Total","16,706,878,557","8,201,667,961"
"2016-feb","All Trade All Listing Total","18,480,240,502","9,080,339,343"
"2016-mar","All Trade All Listing Total","22,608,973,731","11,088,228,683"
"2016-Apr","All Trade All Listing Total","21,584,332,165","9,401,074,925"
"2016-may","All Trade All Listing Total","19,981,182,151","8,602,700,432"
"2016-jun","All Trade All Listing Total","21,514,904,237","9,203,294,675"
"2016-jul","All Trade All Listing Total","17,207,679,522","7,025,905,819"
"2016-Aug","All Trade All Listing Total","18,290,810,206","7,220,439,512"
"2016-Sep","All Trade All Listing Total","19,242,975,590","7,840,360,207"
"2016-oct","All Trade All Listing Total","18,758,982,406","6,993,778,951"
"2016-nov","All Trade All Listing Total","22,491,097,510","8,700,897,202"
"2016-Dec","All Trade All Listing Total","19,457,392,118","7,845,032,781"
"2017-Jan","All Trade All Listing Total","20,593,388,511","8,132,888,557"
"2017-feb","All Trade All Listing Total","21,331,923,437","7,793,541,924"
"2017-mar","All Trade All Listing Total","23,615,275,515","8,890,320,475"
"2017-Apr","All Trade All Listing Total","17,934,098,393","6,540,179,451"
"2017-may","All Trade All Listing Total","19,613,064,753","7,638,168,772"
"2017-jun","All Trade All Listing Total","19,571,790,601","7,888,118,601"
"2017-jul","All Trade All Listing Total","14,056,469,374","5,173,322,262"
"2017-Aug","All Trade All Listing Total","15,968,504,942","6,021,691,952"
"2017-Sep","All Trade All Listing Total","17,729,779,598","6,432,135,264"
"2017-oct","All Trade All Listing Total","18,697,378,642","6,004,758,796"
"2017-nov","All Trade All Listing Total","25,801,830,425","7,538,564,096"
"2017-Dec","All Trade All Listing Total","24,713,971,890","6,345,295,399"
"2018-Jan","All Trade All Listing Total","33,873,188,410","8,624,277,945"
"2018-feb","All Trade All Listing Total","22,683,676,062","7,451,818,011"
"2018-mar","All Trade All Listing Total","21,758,979,986","7,182,102,371"
"2018-Apr","All Trade All Listing Total","19,714,260,030","6,562,744,923"
"2018-may","All Trade All Listing Total","20,260,251,591","7,092,322,699"
"2018-jun","All Trade All Listing Total","20,196,128,023","6,842,312,224"
"2018-jul","All Trade All Listing Total","16,347,046,992","5,465,196,978"
"2018-Aug","All Trade All Listing Total","20,217,865,527","6,795,116,775"
"2018-Sep","All Trade All Listing Total","26,036,020,990","8,008,090,157"
"2018-oct","All Trade All Listing Total","28,225,586,059","9,476,474,807"
"2018-nov","All Trade All Listing Total","24,108,793,811","8,582,090,441"
"2018-Dec","All Trade All Listing Total","22,687,631,442","8,434,986,573"
"2019-Jan","All Trade All Listing Total","23,829,329,478","8,237,816,700"
"2019-feb","All Trade All Listing Total","21,952,143,437","7,256,463,406"
"2019-mar","All Trade All Listing Total","24,577,059,319","8,490,460,499"
"2019-Apr","All Trade All Listing Total","22,228,775,241","7,082,271,578"
"2019-may","All Trade All Listing Total","21,275,769,120","7,446,633,645"
"2019-jun","All Trade All Listing Total","18,160,847,972","6,693,939,763"
"2019-jul","All Trade All Listing Total","18,416,781,632","6,062,458,596"
"2019-Aug","All Trade All Listing Total","19,941,005,856","7,205,053,184"
"2019-Sep","All Trade All Listing Total","19,584,114,339","7,355,104,819"
"2019-oct","All Trade All Listing Total","18,178,749,325","6,571,636,171"
"2019-nov","All Trade All Listing Total","18,608,627,932","7,126,657,713"
"2019-Dec","All Trade All Listing Total","19,035,688,151","6,994,731,186"
"2020-Jan","All Trade All Listing Total","21,498,648,479","7,432,829,871"
"2020-feb","All Trade All Listing Total","21,729,486,654","7,863,764,290"
"2020-mar","All Trade All Listing Total","38,240,179,804","17,080,866,782"
"2020-Apr","All Trade All Listing Total","29,856,382,063","11,861,355,321"
"2020-may","All Trade All Listing Total","27,834,027,791","10,559,654,515"
"2020-jun","All Trade All Listing Total","30,213,594,722","11,515,133,140"
"2020-jul","All Trade All Listing Total","28,069,590,115","8,309,393,032"
"2020-Aug","All Trade All Listing Total","24,376,390,601","7,753,067,146"
"2020-Sep","All Trade All Listing Total","24,886,970,602","8,609,495,227"
"2020-oct","All Trade All Listing Total","22,782,232,803","7,337,454,255"
"2020-nov","All Trade All Listing Total","28,205,041,877","9,762,849,821"
"2020-Dec","All Trade All Listing Total","35,308,477,022","9,380,626,675"
"2021-Jan","All Trade All Listing Total","42,495,262,497","9,828,258,617"
